id,character,dialogue,word_count
370,GREEDO,Jabba's through with you.  He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser.,23
371,HAN,Even I get boarded sometimes.  Do you think I had a choice?,12
372,GREEDO,You can tell that to Jabba.  He may only take your ship.,12
373,HAN,Over my dead body.,4
374,GREEDO,That's the idea I've been looking forward to killing you for a long time.,16
375,HAN,"Yes, I'll bet you have.",6
376,HAN,Sorry about the mess.,4
377,VADER,Her resistance to the mind probe is considerable.  It will be some time before we can extract any information from her.,21
378,IMPERIAL,OFFICER The final check-out is complete.  All systems are operational.  What course shall we set?,16
379,TARKIN,Perhaps she would respond to an alternative form of persuasion.,10
380,VADER,What do you mean?,4
381,TARKIN,I think it is time we demonstrate the full power of this station.Set your course for Princess Leia's home planet of Alderaan.,24
382,TROOPER,With pleasure.,2
383,THREEPIO,"Lock the door, Artoo.",4
384,TROOPER,"All right, check that side of the street.  It's secure.  Move on to the next door.",17
385,THREEPIO,"I would much rather have gone with Master Luke than stay here with you.  I don't know what all this trouble is about, but I'm sure it must be your fault.",33
386,THREEPIO,You watch your language!,4
387,LUKE,"He says it's the best he can do.  Since the XP-38 came out, they",16
388,BEN,It will be enough.,4
389,BEN,"If the ship's as fast as he's boasting, we ought to do well.",15
390,JABBA,"Come on out, Solo!",4
391,HAN,"I've been waiting for you, Jabba.",7
392,JABBA,I expected you would be.,5
393,HAN,I'm not the type to run.,7
394,JABBA,"Han, my boy, there are times when you disappoint me... why haven't you paid me?  And why did you have to fry poor Greedo like that... after all we've been through together.",34
395,HAN,You sent Greedo to blast me.,6
396,JABBA,"Han, why you're the best smuggler in the business.  You're too valuable to fry.  He was only relaying my concern at your delays.  He wasn't going to blast you.",32
397,HAN,"I think he thought he was.  Next time don't send one of those twerps.  If you've got something to say to me, come see me yourself.",28
398,JABBA,"Han, Han!  If only you hadn't had to dump that shipment of spice... you understand I just can't make an exception.  Where would I be if every pilot who smuggled for me dumped their shipment at the first sign of an Imperial starship?  It's not good business.",50
399,HAN,"You know, even I get boarded sometimes, Jabba.  I had no choice, but I've gota charter now and I can pay you back, plus a little extra.  I just need some more time.",34
400,JABBA,"Put your blasters away.  Han, my boy, I'm only doing this because you're the best and I need you.  So, for an extra, say... twenty percent I'll give you a little more time... but this is it.  If you disappoint me again, I'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life.",73
401,HAN,"Jabba, I'll pay you because it's my pleasure.",10
402,LUKE,What a piece of junk.,5
403,HAN,"She'll make point five beyond the speed of light.  She may not look like much, but she's got it where it counts, kid.  I've added some special modifications myself.",32
404,HAN,"We're a little rushed, so if you'll hurry aboard we'll get out of here.",17
405,THREEPIO,"Hello, sir.",2
406,TROOPER,Which way?,2
407,TROOPER,"All right, men.  Load your weapons!",6
408,TROOPER,Stop that ship!,3
409,TROOPER,Blast 'em!,2
410,HAN,"Chewie, get us out of here!",6
411,THREEPIO,"Oh, my.  I'd forgotten how much I hate space travel.",11
412,HAN,It looks like an Imperial cruiser.  Our passengers must be hotter than I thought.  Try and hold them off.  Angle the deflector shield while I make the calculations for the jump to light speed.,34
413,HAN,Stay sharp!  There are two more coming in; they're going to try to cut us off.,17
414,LUKE,Why don't you outrun them?  I thought you said this thing was fast.,14
415,HAN,"Watch your mouth, kid, or you're going to find yourself floating home.  We'll be safe enough once we make the jump to hyperspace.  Besides, I know a few maneuvers. We'll lose them!",35
416,HAN,Here's where the fun begins!,6
417,BEN,How long before you can make the jump to light speed?,11
418,HAN,It'll take a few moments to get the coordinates from the navi-computer.,14
419,LUKE,Are you kidding?  At the rate they're gaining...,9
420,HAN,"Traveling through hyperspace isn't like dusting crops, boy!  Without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it?",37
421,LUKE,What's that flashing?,4
422,HAN,"We're losing our deflector shield.  Go strap yourself in, I'm going to make the jump to light speed.",20
423,MOTTI,We've entered the Alderaan system.,6
424,LEIA,"Governor Tarkin, I should have expected to find you holding Vader's leash.  I recognized your foul stench when I was brought on board.",24
425,TARKIN,Charming to the last.  You don't know how hard I found it signing the order to terminate your life!,20
426,LEIA,to take the responsibility yourself!,5
427,TARKIN,"Princess Leia, before your execution I would like you to be my guest at a ceremony that will make this battle station operational.  No star system will dare oppose the Emperor now.",32
428,LEIA,"The more you tighten your grip, Tarkin, the more star systems will slip through your fingers.",16
429,TARKIN,"Not after we demonstrate the power of this station.  In a way, you have determined the choice of the planet that'll be destroyed first.  Since you are reluctant to provide us with the location of the Rebel base, I have chosen to test this station's destructive power... on your home planet of Alderaan.",55
430,LEIA,No!  Alderaan is peaceful.  We have no weapons.  You can't possibly...,12
431,TARKIN,You would prefer another target?  A military target?  Then name the system!,12
432,TARKIN,I grow tired of asking this.  So it'll be the last time.  Where is the Rebel base?,18
433,LEIA,Dantooine.,1
434,LEIA,They're on Dantooine.,4
435,TARKIN,"There.  You see Lord Vader, she can be reasonable. Continue with the operation.  You may fire when ready.",18
436,LEIA,What?,1
437,TARKIN,You're far too trusting.  Dantooine is too remote to make an effective demonstration.  But don't worry.  We will deal with your Rebel friends soon enough.,27
438,LEIA,No!,1
439,VADER,Commence primary ignition.,3
440,LUKE,Are you all right?  What's wrong?,7
441,BEN,I felt a great disturbance in the Force... as if millions of voices suddenly cried out in terror and were suddenly silenced.  I fear something terrible has happened.,28
442,BEN,You'd better get on with your exercises.,8
443,HAN,"Well, you can forget your troubles with those Imperial slugs.  I told you I'd outrun 'em.",17
444,HAN,Don't everyone thank me at once.,7
445,HAN,"Anyway, we should be at Alderaan about oh-two-hundred hours.",11
446,THREEPIO,"Now be careful, Artoo.",4
447,THREEPIO,He made a fair move.  Screaming about it won't help you.,12
448,HAN,Let him have it. It's not wise to upset a Wookiee.,12
449,THREEPIO,"But sir, nobody worries about upsetting a droid.",8
450,HAN,That's 'cause droids don't pull people's arms out of their socket when they lose.  Wookiees are known to do that.,23
451,THREEPIO,"I see your point, sir.  I suggest a new strategy, Artoo.  Let the Wookiee win.",15
452,BEN,"Remember, a Jedi can feel the Force flowing through him.",10
453,LUKE,You mean it controls your actions?,6
454,BEN,Partially. But it also obeys your commands.,7
455,HAN,"Hokey religions and ancient weapons are no match for a good blaster at your side, kid.",16
456,LUKE,"You don't believe in the Force, do you?",9
457,HAN,"Kid, I've flown from one side of this galaxy to the other.  I've seen a lot of strange stuff, but I've never seen anything to make me believe there's one all-powerful force controlling everything.  There's no mystical energy field that controls my destiny.",49
458,HAN,It's all a lot of simple tricks and nonsense.,10
459,BEN,"I suggest you try it again, Luke.",7
460,BEN,"This time, let go your conscious self and act on instinct.",11
461,LUKE,"With the blast shield down, I can't even see.  How am I supposed to fight?",16
462,BEN,Your eyes can deceive you.  Don't trust them.,9
463,BEN,Stretch out with your feelings.,5
464,BEN,"You see, you can do it.",6
465,HAN,I call it luck.,4
466,BEN,"In my experience, there's no such thing as luck.",10
467,HAN,"Look, going good against remotes is one thing.  Going good against the living?  That's something else.",17
468,HAN,Looks like we're coming up on Alderaan.,8
469,LUKE,"You know, I did feel something.  I could almost see the remote.",12
470,BEN,That's good.  You have taken your first step into a larger world.,13
471,TARKIN,Yes.,1
472,OFFICER,"CASS Our scout ships have reached Dantooine.  They found the remains of a Rebel base, but they estimate that it has been deserted for some time.  They are now conducting an extensive search of the surrounding systems.",37
473,TARKIN,She lied!  She lied to us!,6
474,VADER,I told you she would never consciously betray the Rebellion.,10
475,TARKIN,Terminate her... immediately!,3
476,HAN,"Stand by, Chewie, here we go.  Cut in the sublight engines.",11
477,HAN,"What the...?  Aw, we've come out of hyperspace into a meteor shower.  Some kind of asteroid collision.  It's not on any of the charts.",26
478,LUKE,What's going on?,4
479,HAN,"Our position is correct, except... no, Alderaan!",7
480,LUKE,What do you mean?  Where is it?,7
481,HAN,"Thats what I'm trying to tell you, kid.  It ain't there.  It's been totally blown away.",19
482,LUKE,What?  How?,2
483,BEN,Destroyed... by the Empire!,4
484,HAN,The entire starfleet couldn't destroy the whole planet.  It'd take a thousand ships with more fire power than I've...,22
485,HAN,There's another ship coming in.,6
486,LUKE,Maybe they know what happened.,5
487,BEN,It's an Imperial fighter.,5
488,LUKE,It followed us!,3
489,BEN,No.  It's a short range fighter.,7
490,HAN,There aren't any bases around here.  Where did it come from?,12
491,LUKE,"It sure is leaving in a big hurry.  If they identify us, we're in big trouble.",17
492,HAN,Not if I can help it.  Chewie... jam it's transmissions.,11
493,BEN,It'd be as well to let it go.  It's too far out of range.,16
494,HAN,Not for long...,3
495,BEN,A fighter that size couldn't get this deep into space on its own.,14
496,LUKE,"Then he must have gotten lost, been part of a convoy or something...",13
497,HAN,"Well, he ain't going to be around long enough to tell anyone about us.",15
498,LUKE,Look at him.  He's heading for that small moon.,10
499,HAN,I think I can get him before he gets there... he's almost in range.,15
500,BEN,That's no moon!  It's a space station.,9
501,HAN,It's too big to be a space station.,9
502,LUKE,I have a very bad feeling about this.,8
503,BEN,Turn the ship around!,4
504,HAN,"Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power.",13
505,LUKE,Why are we still moving towards it?,7
506,HAN,We're caught in a tractor beam!  It's pulling us in!,12
507,LUKE,But there's gotta be something you can do!,9
508,HAN,"There's nothin' I can do about it, kid.  I'm in full power.  I'm going to have to shut down.  But they're not going to get me without a fight!",33
509,BEN,You can't win.  But there are alternatives to fighting.,10
510,VOICE,OVER DEATH STAR INTERCOM Clear Bay twenty-three-seven.  We are opening the magnetic field.,15
511,OFFICER,To your stations!,3
512,OFFICER,Come with me.,3
513,OFFICER,Close all outboard shields!  Close all outboard shields!,8
514,TARKIN,Yes.,1
515,VOICE,We've captured a freighter entering the remains of the Alderaan system.  It's markings match those of a ship that blasted its way out of Mos Eisley.,28
516,VADER,They must be trying to return the stolen plans to the princess.  She may yet be of some use to us.,21
517,VOICE,Unlock one-five-seven and nine. Release charges.,8
518,OFFICER,"There's no one on board, sir.  According to the log, the crew abandoned ship right after takeoff.  It must be a decoy, sir.  Several of the escape pods have been jettisoned.",32
519,VADER,Did you find any droids?,5
520,OFFICER,"No, sir.  If there were any on board, they must also have jettisoned.",13
521,VADER,Send a scanning crew on board.  I want every part of this ship checked.,14
522,OFFICER,"Yes, sir.",2
523,VADER,I sense something... a presence I haven't felt since...,10
524,OFFICER,Get me a scanning crew in here on the double.  I want every part of this ship checked!,18
525,LUKE,"Boy, it's lucky you had these compartments.",8
526,HAN,"I use them for smuggling.  I never thought I'd be smuggling myself in them.  This is ridiculous.  Even if I could take off, I'd never get past the tractor beam.",32
527,BEN,Leave that to me!,4
528,HAN,Damn fool. I knew that you were going to say that!,11
529,BEN,Who's the more foolish... the fool or the fool who follows him?,13
530,TROOPER,"The ship's all yours.  If the scanners pick up anything, report it immediately.  All right, let's go.",19
531,HAN,"Hey down there, could you give us a hand with this?",11
532,GANTRY,"OFFICER TX-four-one-two.  Why aren't you at your post?  TX-four-one-two, do you copy?",19
533,GANTRY,OFFICER Take over.  We've got a bad transmitter.  I'll see what I can do.,16
534,LUKE,"You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here.",24
535,HAN,Bring them on!  I prefer a straight fight to all this sneaking around.,13
536,THREEPIO,"We found the computer outlet, sir.",6
537,BEN,Plug in.  He should be able to interpret the entire Imperial computer network.,13
538,THREEPIO,He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor.,30
539,THREEPIO,The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave.,26
540,BEN,I don't think you boys can help.  I must go alone.,12
541,HAN,Whatever you say.  I've done more than I bargained for on this trip already.,15
542,LUKE,I want to go with you.,6
543,BEN,"Be patient, Luke.  Stay and watch over the droids.",9
544,LUKE,But he can...,3
545,BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!,32
546,HAN,"Boy you said it, Chewie.",5
547,HAN,Where did you dig up that old fossil?,8
548,LUKE,Ben is a great man.,5
549,HAN,"Yeah, great at getting us into trouble.",7
550,LUKE,I didn't hear you give any ideas...,8
551,HAN,"Well, anything would be better than just hanging around waiting for them to pick us up...",16
552,LUKE,Who do you think...,4
553,LUKE,What is it?,3
554,THREEPIO,"I'm afraid I'm not quite sure, sir. He says \I found her,\ and keepsrepeating, \She's here.\""",19
555,LUKE,"Well, who... who has he found?",6
556,THREEPIO,Princess Leia.,2
557,LUKE,The princess?  She's here?,5
558,HAN,Princess?,1
559,LUKE,Where... where is she?,4
560,HAN,Princess?  What's going on?,5
561,THREEPIO,Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated.,16
562,LUKE,"Oh, no!  We've got to do something.",8
563,HAN,What are you talking about?,5
564,LUKE,The droid belongs to her.  She's the one in the message.  We've got to help her.,18
565,HAN,"Now, look, don't get any funny ideas.  The old man wants us to wait right here.",17
566,LUKE,"But he didn't know she was here.  Look, will you just find a way back into the detention block?",20
567,HAN,I'm not going anywhere.,5
568,LUKE,"They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay.",32
569,HAN,Marching into the detention area is not what I had in mind.,12
570,LUKE,But they're going to kill her!,7
571,HAN,Better her than me...,4
572,LUKE,She's rich.,3
573,HAN,Rich?,1
574,LUKE,"Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be...",14
575,HAN,What?,1
576,LUKE,Well more wealth that you can imagine.,7
577,HAN,"I don't know, I can imagine quite a bit!",10
578,LUKE,You'll get it!,4
579,HAN,I better!,2
580,LUKE,You will...,2
581,HAN,"All right, kid.  But you'd better be right about this!",11
582,LUKE,All right.,2
583,HAN,What's your plan?,4
584,LUKE,"Uh... Threepio, hand me those binders there will you?",9
585,LUKE,"Okay.  Now, I'm going to put these on you.",10
586,LUKE,"Okay.  Han, you put these on.",6
587,HAN,"Don't worry, Chewie.  I think I know what he has in mind.",13
588,THREEPIO,"Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?",20
589,LUKE,Lock the door!,3
590,HAN,And hope they don't have blasters.,7
591,THREEPIO,That isn't very reassuring.,5
592,LUKE,I can't see a thing in this helmet.,9
593,HAN,This is not going to work.,6
594,LUKE,Why didn't you say so before?,7
595,HAN,I did say so before!,5
596,OFFICER,Where are you taking this... thing?,6
597,LUKE,Prisoner transfer from Block one-one-three-eight.,8
598,OFFICER,I wasn't notified.  I'll have to clear it.,10
599,HAN,Look out!  He's loose!,5
600,LUKE,He's going to pull us all apart.,8
601,HAN,Go get him!,3
602,HAN,We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here.,31
603,HAN,Everything is under control.  Situation normal.,6
604,INTERCOM,VOICE What happened?,3
605,HAN,"Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?",28
606,INTERCOM,VOICE We're sending a squad up.,7
607,HAN,"Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous.",24
608,INTERCOM,VOICE Who is this?  What's your operating number?,9
609,HAN,Boring conversation anyway.Luke!  We're going to have company!,10
610,LEIA,Aren't you a little short for a stormtrooper?,9
611,LUKE,What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you.,14
612,LEIA,You're who?,3
613,LUKE,I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi.,18
614,LEIA,Ben Kenobi is here!  Where is he?,7
615,LUKE,Come on!,2
616,VADER,He is here...,3
617,TARKIN,Obi-Wan Kenobi!  What makes you think so?,8
618,VADER,A tremor in the Force.  The last time I felt it was in the presence of my old master.,19
619,TARKIN,Surely he must be dead by now.,7
620,VADER,Don't underestimate the Force.,5
621,TARKIN,"The Jedi are extinct, their fire has gone out of the universe.  You, my friend, are all that's left of their religion.",23
622,TARKIN,Yes.,1
623,INTERCOM,"VOICE Governor Tarkin, we have an emergency alert in detention block AA-twenty-three.",14
624,TARKIN,The princess!  Put all sections on alert!,7
625,VADER,Obi-Wan is here.  The Force is with him.,9
626,TARKIN,"If you're right, he must not be allowed to escape.",11
627,VADER,Escape may not his plan.  I must face him alone.,10
628,HAN,Chewie!,1
629,HAN,Get behind me!  Get behind me!,6
630,HAN,Can't get out that way.,6
631,LEIA,Looks like you managed to cut off our only escape route.,11
632,HAN,"Maybe you'd like it back in your cell, Your Highness.",11
633,LUKE,See-Threepio!  See-Threepio!,4
634,THREEPIO,Yes sir?,2
635,LUKE,We've been cut off!  Are there any other ways out of the cell bay?...What was that?  I didn't copy!,22
636,THREEPIO,"I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out; all other information on your level is restricted.",29
637,TROOPER,VOICE Open up in there!,5
638,THREEPIO,"Oh, no!",2
639,LUKE,There isn't any other way out.,7
640,HAN,I can't hold them off forever!  Now what?,9
641,LEIA,"This is some rescue.  When you came in here, didn't you have a plan for getting out?",18
642,HAN,"He's the brains, sweetheart.",5
643,LUKE,"Well, I didn't...",4
644,HAN,What the hell are you doing?,6
645,LEIA,"Somebody has to save our skins.  Into the garbage chute, wise guy.",12
646,HAN,Get in there you big furry oaf!  I don't care what you smell!  Get in there and don't worry about it.,23
647,HAN,Wonderful girl!  Either I'm going to kill her or I'm beginning to like her.  Get in there!,19
648,HAN,Oh!  The garbage chute was a really wonderful idea.  What an incredible smell you've discovered!  Let's get out of here!  Get away from there...,26
649,LUKE,No!  wait!,2
650,LUKE,Will you forget it?  I already tried it.  It's magnetically sealed!,12
651,LEIA,Put that thing away!  You're going to get us all killed.,12
652,HAN,"Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us.",32
653,LEIA,It could be worse...,4
654,HAN,It's worse.,3
655,LUKE,There's something alive in here!,6
656,HAN,That's your imagination.,4
657,LUKE,Something just moves past my leg!  Look!  Did you see that?,11
658,HAN,What?,1
659,LUKE,Help!,1
660,HAN,Luke!  Luke!  Luke!,3
661,LEIA,Luke!,1
662,LEIA,"Luke, Luke, grab a hold of this.",7
663,LUKE,"Blast it, will you!  My gun's jammed.",8
664,HAN,Where?,1
665,LUKE,Anywhere!  Oh!!,2
666,HAN,Luke!  Luke!,2
667,LEIA,Grab him!,2
668,LEIA,What happened?,2
669,LUKE,"I don't know, it just let go of me and disappeared...",12
670,HAN,I've got a very bad feeling about this.,9
671,LUKE,The walls are moving!,4
672,LEIA,Don't just stand there.  Try and brace it with something.,11
673,LUKE,Wait a minute!,3
674,LUKE,Threepio!  Come in Threepio!  Threepio!  Where could he be?,9
675,FIRST,TROOPER Take over!See to him!  Look there!,8
676,THREEPIO,"They're madmen!  They're heading for the prison level.  If you hurry, you might catch them.",17
677,FIRST,OFFICER Follow me!  You stand guard.,6
678,THREEPIO,Come on!,2
679,THREEPIO,"Oh!  All this excitement has overrun the circuits of my counterpart here.  If you don't mind, I'd like to take him down to maintenance.",26
680,TROOPER,All right.,2
681,LUKE,"Threepio!  Come in, Threepio!  Threepio!",5
682,HAN,Get to the top!,4
683,LEIA,I can't,3
684,LUKE,"Where could he be?  Threepio!  Threepio, will you come in?",10
685,THREEPIO,They aren't here!  Something must have happened to them.  See if they've been captured.,16
686,THREEPIO,Hurry!,1
687,HAN,One thing's for sure.  We're all going to be a lot thinner!Get on top of it!,19
688,LEIA,I'm trying!,3
689,THREEPIO,"Thank goodness, they haven't found them!  Where could they be?",11
690,THREEPIO,"Use the comlink?  Oh, my!  I forgot I turned it off!",11
691,THREEPIO,"Are you there, sir?",4
692,LUKE,Threepio!,1
693,THREEPIO,We've had some problems...,5
694,LUKE,"Shut down all the garbage mashers on the detention level, will you?  Do you copy?",15
695,LUKE,Shut down all the garbage mashers on the detention level.,10
696,LUKE,Shut down all the garbage mashers on the detention level.,10
697,THREEPIO,No.  Shut them all down!  Hurry!,6
698,THREEPIO,"Listen to them!  They're dying, Artoo!  Curse my metal body!  I wasn't fast enough.  It's all my fault!  My poor master!",24
699,LUKE,"Threepio, we're all right!",5
700,LUKE,We're all right.  You did great.,7
701,LUKE,"Hey... hey, open the pressure maintenance hatch on unit number... where are we?",13
702,HAN,Three-two-six-eight-two-seven.,6
703,HAN,"If we can just avoid any more female advice, we ought to be able to get out of here.",19
704,LUKE,"Well, let's get moving!",5
705,HAN,Where are you going?,4
706,LEIA,"No, wait.  They'll hear!",5
707,HAN,"Come here, you big coward!",5
708,HAN,Chewie!  Come here!,3
709,LEIA,"Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?",24
710,HAN,"Look, Your Worshipfulness, let's get one thing straight!  I takeorders from one person!  Me!",15
711,LEIA,It's a wonder you're still alive.Will somebody get this big walking carpet out of my way?,19
712,HAN,No reward is worth this.,5
713,OFFICER,Secure this area until the alert is canceled.,8
714,FIRST,TROOPER Give me regular reports.,5
715,FIRST,TROOPER Do you know what's going on?,8
716,SECOND,TROOPER Maybe it's another drill.,6
717,SECOND,TROOPER What was that?,4
718,FIRST,"TROOPER Oh, it's nothing.  Don't worry about it.",10
719,HAN,There she is.,3
720,LUKE,"See-Threepio, do you copy?",5
721,THREEPIO,"For the moment.  Uh, we're in the main hangar across from the ship.",14
722,LUKE,We're right above you.  Stand by.,7
723,LEIA,You came in that thing?  You're braver that I thought.,11
724,HAN,Nice!  Come on!,3
725,FIRST,TROOPER It's them!  Blast them!,6
726,HAN,Get back to the ship!,5
727,LUKE,Where are you going?  Come back!,6
728,LEIA,He certainly has courage.,4
729,LUKE,What good will it do us if he gets himself killed?  Come on!,13
730,LUKE,I think we took a wrong turn.,7
731,LEIA,There's no lock!,4
732,LUKE,That oughta hold it for a while.,7
733,LEIA,"Quick, we've got to get across.  Find the control that extends the bridge.",14
734,LUKE,"Oh, I think I just blasted it.",7
735,LEIA,They're coming through!,4
736,LUKE,"Here, hold this.",3
737,LEIA,Here they come!,3
738,LEIA,For luck!,2
739,THREEPIO,Where could they be?,4
740,TROOPER,Close the blast doors!,4
741,TROOPER,Open the blast doors!  Open the blast doors!,8
742,VADER,"I've been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete.",18
743,VADER,"When I left you, I was but the learner; now I am the master.",14
744,BEN,"Only a master of evil, Darth.",6
745,VADER,"Your powers are weak, old man.",6
746,BEN,"You can't win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine.",20
747,HAN,Didn't we just leave this party?,7
748,HAN,What kept you?,3
749,LEIA,We ran into some old friends.,6
750,LUKE,Is the ship all right?,5
751,HAN,"Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission.",20
752,LUKE,Look!,1
753,THREEPIO,"Come on, Artoo, we're going!",6
754,HAN,Now's our chance!  Go!,5
755,LUKE,No!,1
756,HAN,Come on!,2
757,LEIA,"Come on!  Luke, its too late!",6
758,HAN,Blast the door!  Kid!,4
759,BEN,"Run, Luke!  Run!",3
760,HAN,"I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!",25
761,HAN,We're coming up on the sentry ships.  Hold 'em off!  Angle the deflector shields while I charge up the main guns!,22
762,LUKE,I can't believe he's gone.,7
763,LEIA,There wasn't anything you could have done.,8
764,HAN,"Come on, buddy, we're not out of this yet!",10
765,HAN,"You in, kid?  Okay, stay sharp!",6
766,LEIA,Here they come!,3
767,LUKE,They're coming in too fast!,6
768,THREEPIO,Oooh!,1
769,LEIA,We've lost lateral controls.,5
770,HAN,"Don't worry, she'll hold together.",7
771,HAN,"You hear me, baby?  Hold together!",6
772,LUKE,Got him!  I got him!,5
773,HAN,Great kid!  Don't get cocky.,6
774,LEIA,There are still two more of them out there!,9
775,LUKE,That's it!  We did it!,6
776,LEIA,We did it!,3
777,THREEPIO,Help!  I think I'm melting!This is all your fault.,11
778,TARKIN,Are they away?,3
779,VADER,They have just made the jump into hyperspace.,8
780,TARKIN,"You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work.",22
781,HAN,"Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself.",14
782,LEIA,"That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape.",22
783,HAN,Easy... you call that easy?,5
784,LEIA,Their tracking us!,3
785,HAN,"Not this ship, sister.",4
786,LEIA,At least the information in Artoo is still intact.,9
787,HAN,What's so important?  What's he carrying?,8
788,LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!",26
789,HAN,"It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!",36
790,LEIA,"You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!",21
791,LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.,16
792,LUKE,I care!,2
793,LUKE,"So... what do you think of her, Han?",8
794,HAN,"I'm trying not to, kid!",6
795,LUKE,Good...,1
796,HAN,"Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me...",26
797,LUKE,No!,1
798,WILLARD,You're safe!  We had feared the worst.,8
799,WILLARD,"When we heard about Alderaan, we were afraid that you were... lost along with your father.",16
800,LEIA,"We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope.",46
801,TARKIN,Yes.,1
802,DEATH,STAR INTERCOM VOICE We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet.,27
803,DODONNA,The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense.,39
804,GOLD,"LEADER Pardon me for asking, sir, but what good are snub fighters going to be against that?",17
805,DODONNA,"Well, the Empire doesn't consider a small one-man fighter to be any threat, or they'd have a tighter defense.  An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station.",39
806,DODONNA,"The approach will not be easy.  You are required to maneuver straight down this trench and skim the surface to this point.  The target area is only two meters wide.  It's a small thermal exhaust port, right below the main port.  The shaft leads directly to the reactor system.  A precise hit will start a chain reaction which should destroy the station.",63
807,DODONNA,"Only a precise hit will set up a chain reaction.  The shaft is ray-shielded, so you'll have to use proton torpedoes.",23
808,WEDGE,"That's impossible, even for a computer.",7
809,LUKE,It's not impossible.  I used to bullseye womp rats in my T-sixteen back home.  They're not much bigger than two meters.,24
810,DODONNA,Man your ships!  And may the Force be with you!,10
811,DEATH,STAR INTERCOM VOICE Orbiting the planet at maximum velocity.  The moon with the Rebel base will be in range in thirty minutes.,22
812,VADER,This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion.,24
813,MAN,"All flight troops, man your stations.  All flight troops, man your stations.",12
814,LUKE,So... you got your reward and you're just leaving then?,11
815,HAN,"That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you.",56
816,LUKE,"Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them.",37
817,HAN,"What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide.",28
818,LUKE,"All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?",19
819,HAN,"Hey, Luke... may the Force be with you!",8
820,HAN,What're you lookin' at?  I know what I'm doing.,11
821,LEIA,What's wrong?,3
822,LUKE,"Oh, it's Han!  I don't know, I really thought he'd change his mind.",16
823,LEIA,He's got to follow his own path.  No one can choose it for him.,15
824,LUKE,I only wish Ben were here.,6
825,BIGGS,Luke!  I don't believe it!  How'd you get here... are you going out with us?!,17
826,LUKE,"Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell...",18
